adult,genre_ids,id,original_language,popularity,release_date,title,video,vote_average,vote_count
FALSE,"[27, 53, 9648]",717728,en,51.041,15-09-2022,Jeepers Creepers: Reborn,FALSE,5.522,905
FALSE,[35],653349,en,51.03,27-08-2021,Vacation Friends,FALSE,7.129,672
FALSE,"[28, 53]",341013,en,51.011,26-07-2017,Atomic Blonde,FALSE,6.412,5915
FALSE,"[16, 10751, 14, 12]",12092,en,51.008,28-07-1951,Alice in Wonderland,FALSE,7.186,5519
FALSE,"[28, 12, 53]",22832,en,50.952,29-09-2009,Ninja Assassin,FALSE,6.584,1404
FALSE,"[18, 28, 12, 36, 10752]",1495,en,50.944,03-05-2005,Kingdom of Heaven,FALSE,6.917,3879
FALSE,"[16, 10751, 35]",9982,en,50.932,04-11-2005,Chicken Little,FALSE,5.885,3680
FALSE,"[28, 18, 36, 10752]",197,en,50.901,24-05-1995,Braveheart,FALSE,7.936,9486
FALSE,"[10770, 35, 10749]",1180686,en,50.885,15-12-2023,The Secret Gift of Christmas,FALSE,7,2
FALSE,"[35, 27]",11932,en,50.852,16-10-1998,Bride of Chucky,FALSE,6,1744
FALSE,"[80, 18, 53]",6977,en,50.838,13-06-2007,No Country for Old Men,FALSE,7.936,11138
FALSE,"[35, 10751, 14]",10330,en,50.834,05-08-2003,Freaky Friday,FALSE,6.477,3537
FALSE,"[27, 53]",257117,en,50.821,21-02-2014,Blood Punch,FALSE,6.4,99
FALSE,"[10402, 99]",1041513,en,50.742,28-12-2022,Encanto at the Hollywood Bowl,FALSE,7,150
FALSE,"[14, 35, 10751]",8839,en,50.741,26-05-1995,Casper,FALSE,6.311,4338
FALSE,"[28, 878, 53]",534,en,50.716,20-05-2009,Terminator Salvation,FALSE,6.048,6088
FALSE,"[28, 878, 53]",534,en,68.309,20-05-2009,Terminator Salvation,FALSE,6,6088
FALSE,[18],766798,es,42.879,08-10-2021,Parallel Mothers,FALSE,6.831,838
FALSE,"[10749, 35, 80]",256591,en,70.979,25-02-2015,Focus,FALSE,6.876,7417
FALSE,"[35, 18, 10749]",254320,en,39.36,15-10-2015,The Lobster,FALSE,7,5651
FALSE,[27],11351,en,46.354,08-08-2003,Jeepers Creepers 2,FALSE,6.11,1497
FALSE,"[18, 53, 28, 12]",75174,en,49.904,26-01-2012,The Grey,FALSE,6.564,3609
FALSE,"[28, 12, 878]",1771,en,61.74,22-07-2011,Captain America: The First Avenger,FALSE,6.996,20468
FALSE,"[16, 10751, 12, 35, 14]",41513,en,45.599,29-07-2011,The Smurfs,FALSE,5.8,3554
FALSE,"[27, 53]",125509,en,50.596,23-10-2012,Wrong Turn 5: Bloodlines,FALSE,5.382,859
FALSE,"[27, 53]",9902,en,54.789,30-05-2003,Wrong Turn,FALSE,6.35,2474
FALSE,[27],917007,en,56.896,10-02-2023,Bed Rest,FALSE,6.43,165
FALSE,[27],787761,en,63.094,01-10-2023,Oracle,FALSE,7.044,68
FALSE,"[28, 12, 53]",628900,en,60.61,10-03-2022,The Contractor,FALSE,6.405,772
FALSE,"[27, 53]",756999,en,58.514,22-06-2022,The Black Phone,FALSE,7.673,4309
FALSE,"[28, 12, 53, 10752]",1370,en,47.078,24-05-1988,Rambo III,FALSE,6.2,2934
FALSE,"[53, 27, 80]",207768,en,40.58,25-08-2013,I Spit on Your Grave 2,FALSE,6.299,1174
FALSE,"[14, 16, 10749, 10751]",10882,en,49.327,17-02-1959,Sleeping Beauty,FALSE,6.9,4834
FALSE,"[35, 37]",188161,en,51.718,22-05-2014,A Million Ways to Die in the West,FALSE,6,3834
FALSE,"[27, 53, 9648, 18]",8922,en,46.314,01-07-2001,Jeepers Creepers,FALSE,6.447,2776
FALSE,"[28, 27, 14]",36648,en,53.814,08-12-2004,Blade: Trinity,FALSE,5.9,3622
FALSE,"[18, 80]",1607,en,50.406,01-10-1993,A Bronx Tale,FALSE,7.9,2201
FALSE,"[28, 878]",137113,en,50.398,27-05-2014,Edge of Tomorrow,FALSE,7.6,13004
