Movie ID,Movie Title,Keywords
118,Charlie and the Chocolate Factory,"factory worker, london, england, based on novel or book, chocolate, candy, overweight child, parent child relationship, grandparent grandchild relationship, teacher, candy bar"
936059,The Naughty Nine,christmas
1123093,Diary of a Wimpy Kid Christmas: Cabin Fever,"based on novel or book, video game, sequel, coming of age, blizzard, christmas"
140300,Kung Fu Panda 3,"martial arts, kung fu, china, fighter, village, sequel, panda, anthropomorphism, dragon, wuxia, woman director"
872906,Jawan,"revenge, vigilantism, political"
1035982,Hell House LLC Origins: The Carmichael Manor,"hotel, cult, woods, mockumentary, found footage, haunted manor, murder mystery, clown mask, remote location, video camera, upstate new york"
1011985,Kung Fu Panda 4,"martial arts, kung fu, china, panda, anthropomorphism"
772,Home Alone 2: Lost in New York,"new york city, burglar, holiday, family relationships, sequel, slapstick comedy, little boy, home invasion, family, precocious child, home alone, mischievous child, christmas, kids on their own, child rescue"
845844,Extraction Point,
1022964,Candy Cane Lane,christmas
662167,Agent Jade Black,
950925,Hunting Souls,"parent, demon, child"
141052,Justice League,"superhero, based on comic, super power, superhero team, aftercreditsstinger, duringcreditsstinger, dc extended universe (dceu)"
709631,Cobweb,"nightmare, halloween, dysfunctional family, pumpkin, basement, devil, demon, schoolteacher, child protagonist"
995206,Hard Days,
1118595,The Jester,"detective, horror"
118249,Thriller Night,
252,Willy Wonka & the Chocolate Factory,"factory worker, factory, based on novel or book, chocolate, candy, overweight child, grandparent grandchild relationship, tv addicted person, musical, single, teacher, based on children's book, poor kid, eccentric man, grandfather grandson relationship, candy bar"
939335,Muzzle,"police, los angeles, california, lapd, k9"
399566,Godzilla vs. Kong,"giant monster, dinosaur, creature feature, kaiju, sign languages, giant ape, godzilla, monsterverse, robot dinosaur, king kong"
181808,Star Wars: The Last Jedi,"bunker, space battle, defeat, failure, sequel, space opera, military operation"
177572,Big Hero 6,"friendship, martial arts, hero, sibling relationship, san francisco, california, superhero, talent, cartoon, based on comic, revenge, tokyo, japan, best friend, another dimension, robot, east asian lead, boy genius, aftercreditsstinger, moral dilemma, teen superhero, dead brother"
725064,The Feast of Amrita,"gore, survival, schoolgirl, supernatural creature, dark fantasy, anime"
614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,"new york city, sibling relationship, skateboarding, crime fighter, superhero, turtle, ninja, duringcreditsstinger, teenage mutant ninja turtles, aspiring journalist, anthropomorphic animal"
299536,Avengers: Infinity War,"sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, aftercreditsstinger, marvel cinematic universe (mcu), cosmic"
678512,Sound of Freedom,"pedophilia, kidnapping, human trafficking, based on true story, scam, child kidnapping, grooming, lost children, children in danger, colombia"
4977,Paprika,"research, japan, dream, procession, psychoanalysis, mad scientist, dream girl, parallel world, adult animation, dream world, anime"
5833,Casper's Haunted Christmas,"holiday, assistant, cartoon, tricks, surrealism, look-alike, kindness, ruler, scare, task"
1032948,V/H/S/85,"cult, anthology, serial killer, vhs, found footage, 1980s, 1990s"
447277,The Little Mermaid,"mermaid, musical, based on fairy tale, live action remake"
848326,Rebel Moon - Part One: A Child of Fire,"space war, space, space opera, space adventure, action hero, alien spaceship, super hero girls, space vessel"
457232,Lamborghini: The Man Behind the Legend,"based on novel or book, biography, historical, auto industry, luxury car"
156022,The Equalizer,"assassin, corruption, hitman, call girl, sadism, hostage, gangster, fbi, gore, remake, sociopath, revenge, vigilante, organized crime, teenage prostitute, commando, interrogation, surveillance, fake death, ex soldier, loner, black ops, hand to hand combat, mysterious past, vigilante justice"
671,Harry Potter and the Philosopher's Stone,"witch, school friend, friendship, london, england, based on novel or book, magic, boarding school, child hero, school of witchcraft, chosen one, school, shopping, fantasy world, wizard, christmas, based on young adult novel, owl"
1100795,Mr. Monk's Last Case: A Monk Movie,"san francisco, california, obsessive compulsive disorder, private detective, mental disorders"
1171353,Stolen Vacation,"stolen money, road trip"
1008042,Talk to Me,"suicide, trauma, possession, female friendship, addiction, grief, female protagonist, death of mother, self mutilation, mental health, dead parent, social media, peer pressure, disembodied hand, generation z, self-harm, supernatural horror, cautionary tale, adelaide australia, body horror, graphic violence, teenager, modern australia"
150540,Inside Out,"dream, san francisco, california, minnesota, sadness, cartoon, ice hockey, imaginary friend, elementary school, family relationships, memory, family, unicorn, running away, duringcreditsstinger, emotions"
891699,Silent Night,"holiday, revenge, death of son, christmas, no dialogue"
7443,Chicken Run,"farm, northern england, escape, freedom, chicken, yorkshire, stop motion, explosion, farmer, pie machine, claymation, plasticine, royal air force, raf"
823464,Godzilla x Kong: The New Empire,"giant monster, sequel, dinosaur, kaiju, giant ape, monsterverse"
330457,Frozen II,"princess, magic, kingdom, winter, queen, castle, musical, sequel, dam, spirit, frozen, personification, mother daughter relationship"
864168,Joy Ride,"female friendship, adopted child, woman director, asian american"
897066,Big Tit Monastery,"softcore, pink film, nunsploitation"
1151534,Nowhere,"lost at sea, one location, survival at sea"
315635,Spider-Man: Homecoming,"high school, new york city, washington dc, usa, superhero, based on comic, reboot, marvel cinematic universe (mcu)"
1113278,It's a Wonderful Knife,"holiday, slasher, lgbt, christmas, death of best friend, meta, holiday horror"
131631,The Hunger Games: Mockingjay - Part 1,"based on novel or book, resistance, dystopia, post-apocalyptic future, sequel, female protagonist, bow and arrow, game, future war, revolt, class prejudice, human subjugation, based on young adult novel"
98566,Teenage Mutant Ninja Turtles,"new york city, van, martial arts, hero, experiment, mutation, superhero, turtle, based on comic, ninja, vigilante, terrorism, sewer, reboot, teenage mutant ninja turtles"
373571,Godzilla: King of the Monsters,"mexico, boston, massachusetts, giant monster, cryptozoology, eco terrorism, creature feature, rodan, kaiju, aftercreditsstinger, global threat, animal horror, king ghidorah, sunken city, mothra, godzilla, monsterverse"
536108,Aragne: Sign of Vermillion,"survival, murder, anime"
839369,May December,"infidelity, sexual abuse, dark comedy, statutory rape, pedophile, boundary violations, older woman younger man relationship, existentialism, dramedy, baker, method acting, savannah georgia, father son relationship, melodrama, actress, inspired by true events"
675353,Sonic the Hedgehog 2,"mad scientist, sequel, revenge, based on video game, duringcreditsstinger, hedgehog, live action and animation"
568124,Encanto,"strong woman, magic, sadness, immigration, supernatural, beauty, musical, big family, forest, family secrets, family relationships, flamenco, joy of life, teenage girl, female protagonist, family conflict, helping children, matriarch, colombia"
568124,Encanto,"strong woman, magic, sadness, immigration, supernatural, beauty, musical, big family, forest, family secrets, family relationships, flamenco, joy of life, teenage girl, female protagonist, family conflict, helping children, matriarch, colombia"
1186957,The Velveteen Rabbit,"based on children's book, rabbit, christmas, live action and animation, velveteen"
1205036,Higop,
1020006,Priscilla,"husband wife relationship, 1970s, drug addiction, biography, singer, fame, based on memoir or autobiography, underage girlfriend, woman director, abusive marriage, 1960s, grooming, gilded cage"
496450,"Miraculous: Ladybug & Cat Noir, The Movie","paris, france, superhero, musical, interracial romance, teen superhero"
660521,The Mercenary,
436270,Black Adam,"lightning, superhero, anti hero, based on comic, demon, superhero team, duringcreditsstinger, dc extended universe (dceu)"
798021,Family Switch,"based on novel or book, bullying, dysfunctional family, body-swap, family conflicts, swedish family, teen romance, family comedy, nuclear family"
297802,Aquaman,"hero, chase, atlantis, superhero, half-brother, based on comic, royalty, underwater, duringcreditsstinger, quest, dc extended universe (dceu), advanced civilization, two worlds"
811634,The Monkey King: Reborn,"kung fu, animation"
1176139,Your Christmas or Mine 2,"holiday, sequel, christmas"
554600,Uri: The Surgical Strike,"army, based on true story, terrorism, india, terrorist attack, indian army"
885683,White Sky,alien invasion
124905,Godzilla,"japan, monster, san francisco, california, hawaii, giant monster, tsunami, remake, prehistoric creature, golden gate bridge, dinosaur, kaiju, honolulu, hawaii, disaster movie, global threat, animal horror, godzilla, monsterverse"
1058694,Radical,"usa-mexico border', teachers and students, border town"
635910,The Last Voyage of the Demeter,"ship, based on novel or book, vampire, gothic horror, dracula, 1890s"
988591,Mega Lightning,lightning
677179,Creed III,"husband wife relationship, philadelphia, pennsylvania, sports, deaf, sequel, orphan, former best friend, ex-con, childhood friends, juvenile detention center, boxing, prodigy"
744857,When Evil Lurks,"farm, small town, shotgun, village, possession, gore, goat, demon, police officer, dog, ex-wife, evil, brother brother relationship, brutal violence"
9381,Babylon A.D.,"future, baby, smuggling (contraband), submarine, pregnancy, dystopia, prosecution, mercenary, protection, moral conflict, vision, cyberpunk, sect"
709334,No Name and Dynamite,
198663,The Maze Runner,"based on novel or book, escape, dystopia, maze, post-apocalyptic future, memory loss, erased memory, trapped, runner, based on young adult novel"
181812,Star Wars: The Rise of Skywalker,space opera
17979,A Christmas Carol,"london, england, based on novel or book, holiday, greed, victorian england, money, ghost, lesson, christmas music, moneylender, christmas, 19th century, scrooge, christmas eve"
545742,One Piece: Episode of Skypiea,"friendship, friends, pirate, based on manga, shounen, anime, remastering"
55241,Meteor Storm,
673,Harry Potter and the Prisoner of Azkaban,"witch, school friend, friendship, flying, magic, bus, traitor, child hero, school of witchcraft, black magic, time travel, school, best friend, werewolf, muggle, wizard, aftercreditsstinger, magical creature, night bus, teenage life, christmas, school class, based on young adult novel, magic spell"
1076364,Carl's Date,"date, love, dog, short film"
126889,Alien: Covenant,"android, spacecraft, experiment, space travel, infection, engineer, alien life-form, sequel, alien, space, creature, robot, scientist, genocide, creation, acid, xenomorph, alien technology, genetic mutation"
109445,Frozen,"princess, magic, mistake in person, queen, cartoon, musical, betrayal, snowman, reindeer, curse, snow, troll, based on children's book, mountain climbing, evil prince, based on fairy tale, aftercreditsstinger, frozen, woman director, sister sister relationship, magic land"
157336,Interstellar,"rescue, future, spacecraft, race against time, artificial intelligence (a.i.), nasa, time warp, dystopia, expedition, space travel, wormhole, famine, black hole, quantum mechanics, family relationships, space, robot, astronaut, scientist, single father, farmer, space station, space adventure, time paradox, time-manipulation, father daughter relationship, 2060s, cornfield, time manipulation"
581726,Infinite,"based on novel or book, secret organization, reincarnation, memories"
505642,Black Panther: Wakanda Forever,"hero, loss of loved one, superhero, royal family, based on comic, sequel, royalty, underwater, political intrigue , death in family, mourning, death of brother, duringcreditsstinger, death of king, marvel cinematic universe (mcu), hidden civilization, yucatan, mayans"
1056803,Rascal Does Not Dream of a Sister Venturing Out,"based on novel or book, anime"
594767,Shazam! Fury of the Gods,"superhero, end of the world, super power, aftercreditsstinger, duringcreditsstinger, dc extended universe (dceu), teenager"
899112,Violent Night,"holiday, santa claus, mercenary, saving christmas, booby trap, duringcreditsstinger, christmas"
76617,Texas Chainsaw 3D,"home, gore, sequel, leatherface, slasher, chainsaw, shattered home, violent death, bloody fight, blood lust, aftercreditsstinger, duringcreditsstinger, gory, sawing, hewitt"
158852,Tomorrowland,"inventor, apocalypse, destiny, dreamer, futuristic car, futuristic city"
1022789,Inside Out 2,"sequel, computer animation, teenage girl, emotions"
1034062,Mortal Kombat Legends: Cage Match,"martial arts, fighting, based on video game, adult animation, extreme blood"
937249,57 Seconds,
672,Harry Potter and the Chamber of Secrets,"witch, flying car, elves, magic, sword, diary, child hero, school of witchcraft, giant spider, black magic, giant snake, child driving car, wizard, aftercreditsstinger, christmas, based on young adult novel"
930564,Saltburn,"suicide, obsession, country house, college, dark comedy, gay interest, bathtub, lust, mental illness, lgbt, mental health, bisexual man, eating disorder, woman director, male in bathtub, oxford university, family estate, alcohol problems, self-harm, deadpan comedy, suicide investigation, 2000s, gay theme, boys' love (bl), comedy thriller"
120,The Lord of the Rings: The Fellowship of the Ring,"based on novel or book, orcs, elves, dwarf, magic, loss of loved one, river, fireworks, mine, maze, mountain, castle, volcano, birthday party, addiction, uncle, fugitive, battle, death, blizzard, wizard, journey, ring, live action and animation, sword and sorcery"
1192330,Dating Santa,
585083,Hotel Transylvania: Transformania,"monster, vampire, transformation, aftercreditsstinger, duringcreditsstinger, human"
585,"Monsters, Inc.","monster, panic, cheating, kidnapping, door, infant, villain, portal, rivalry, energy supply, friends, hijinks, best friend, chameleon, family, parallel world, conveyor belt, invisibility, energy company, conspirators"
800158,The Killer,"sniper, new york city, assassin, airport, paris, france, hitman, new orleans, louisiana, dark comedy, client, product placement, sociopath, revenge, murder, fate, lawyer, brutality, based on graphic novel, character study, perfectionist, empathy, dominican republic, assassination attempt, cold blooded killer, tampa, florida, manhunt, international manhunt, precision, gig economy, secret, violence"
1040148,"Ruby Gillman, Teenage Kraken","high school, mermaid, prom, female protagonist, kraken, female villain, fitting in, teenager"
40706,Jimmy Timmy Power Hour,
414906,The Batman,"police, psychopath, secret identity, crime fighter, superhero, nightclub, politician, based on comic, vigilante, organized crime, serial killer, millionaire, social injustice, murder investigation, aftercreditsstinger, masked superhero, political corruption, neo-noir, vengeance, mayoral election"
507086,Jurassic World Dominion,"giant monster, sequel, dinosaur, child kidnapping, jurassic, animal sanctuary"
