movie_title,genre_names,genre_ids
Raya and the Last Dragon,"Animation, Family, Fantasy, Action, Adventure","16, 10751, 14, 28, 12"
When Evil Lurks,"Horror, Thriller","27, 53"
The Nightmare Before Christmas,"Fantasy, Animation, Family","14, 16, 10751"
The Polar Express,"Animation, Adventure, Family, Fantasy","16, 12, 10751, 14"
Pirates of the Caribbean: The Curse of the Black Pearl,"Adventure, Fantasy, Action","12, 14, 28"
"Monsters, Inc.","Animation, Comedy, Family","16, 35, 10751"
Avengers: Endgame,"Adventure, Science Fiction, Action","12, 878, 28"
57 Seconds,"Thriller, Science Fiction, Action","53, 878, 28"
Human Resources,"Mystery, Horror","9648, 27"
Dune,"Science Fiction, Adventure","878, 12"
Shrek Forever After,"Comedy, Adventure, Fantasy, Animation, Family","35, 12, 14, 16, 10751"
Jimmy Timmy Power Hour,"Animation, Comedy, Family, Fantasy, TV Movie, Science Fiction","16, 35, 10751, 14, 10770, 878"
20th Century Girl,"Romance, Drama","10749, 18"
The Flood,"Action, Mystery, Thriller, Horror","28, 9648, 53, 27"
Around the World in 80 Days,"Animation, Family","16, 10751"
Agnes,"Horror, Drama","27, 18"
Anatomy of a Fall,"Drama, Mystery","18, 9648"
Teen Titans: Trouble in Tokyo,"Animation, Action, Science Fiction, TV Movie","16, 28, 878, 10770"
Spider-Man: Into the Spider-Verse,"Action, Adventure, Animation, Science Fiction","28, 12, 16, 878"
After We Collided,"Romance, Drama","10749, 18"
Pulp Fiction,"Thriller, Crime","53, 80"
The Archies,"Comedy, Drama, Music, Romance","35, 18, 10402, 10749"
1962 Halloween Massacre,Horror,27
Mortal Kombat Legends: Cage Match,"Animation, Action, Fantasy","16, 28, 14"
Coraline,"Animation, Family, Fantasy","16, 10751, 14"
Deadpool,"Action, Adventure, Comedy","28, 12, 35"
The Mercator Trail,"Adventure, Family","12, 10751"
Fifty Shades of Grey,"Drama, Romance, Thriller","18, 10749, 53"
Spider-Man: Far From Home,"Action, Adventure, Science Fiction","28, 12, 878"
Whiplash,"Drama, Music","18, 10402"
Jack Mimoun & the Secrets of Val Verde,"Comedy, Adventure","35, 12"
Life,"Horror, Science Fiction, Mystery, Thriller","27, 878, 9648, 53"
Ted 2,"Comedy, Fantasy","35, 14"
Solo: A Star Wars Story,"Science Fiction, Adventure, Action","878, 12, 28"
Infinite,"Science Fiction, Action, Thriller","878, 28, 53"
Minions: The Rise of Gru,"Animation, Comedy, Family","16, 35, 10751"
Toy Story,"Animation, Adventure, Family, Comedy","16, 12, 10751, 35"
Stolen Vacation,Comedy,35
Terminator Genisys,"Science Fiction, Action, Thriller, Adventure","878, 28, 53, 12"
Moonfall,"Science Fiction, Adventure, Action","878, 12, 28"
Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy","28, 12, 14"
The Hobbit: The Battle of the Five Armies,"Action, Adventure, Fantasy","28, 12, 14"
The Maze Runner,"Action, Mystery, Science Fiction, Thriller","28, 9648, 878, 53"
After We Fell,"Romance, Drama","10749, 18"
Shrek 2,"Animation, Family, Comedy, Fantasy, Adventure, Drama","16, 10751, 35, 14, 12, 18"
No One Will Save You,"Horror, Science Fiction, Thriller","27, 878, 53"
The Lesson,Thriller,53
May December,"Drama, Comedy","18, 35"
Thick as Thieves,"Action, Thriller, Crime","28, 53, 80"
Pet Sematary: Bloodlines,Horror,27
The Holdovers,"Comedy, Drama","35, 18"
Sicario,"Action, Crime, Thriller","28, 80, 53"
After Ever Happy,"Romance, Drama","10749, 18"
Ice Age,"Animation, Comedy, Family, Adventure","16, 35, 10751, 12"
Ernest & Celestine: A Trip to Gibberitia,"Animation, Family","16, 10751"
Justice League: Warworld,"Animation, Action, Science Fiction, Adventure","16, 28, 878, 12"
San Andreas,"Action, Drama, Thriller","28, 18, 53"
Cars 3,"Animation, Adventure, Comedy, Family","16, 12, 35, 10751"
Scream VI,"Horror, Crime, Thriller","27, 80, 53"
Spirited Away,"Animation, Family, Fantasy","16, 10751, 14"
How to Train Your Dragon 2,"Fantasy, Action, Adventure, Animation, Comedy, Family","14, 28, 12, 16, 35, 10751"
World's First Christmas,"Comedy, Drama","35, 18"
Shrek the Third,"Fantasy, Adventure, Animation, Comedy, Family","14, 12, 16, 35, 10751"
Iron Man 2,"Adventure, Action, Science Fiction","12, 28, 878"
The Fox,"Drama, War, History","18, 10752, 36"
Prey,"Thriller, Action, Science Fiction","53, 28, 878"
Star Wars: The Rise of Skywalker,"Adventure, Action, Science Fiction","12, 28, 878"
Cruella,"Comedy, Crime","35, 80"
Ratatouille,"Animation, Comedy, Family, Fantasy","16, 35, 10751, 14"
Django Unchained,"Drama, Western","18, 37"
Blade Runner 2049,"Science Fiction, Drama","878, 18"
Sing 2,"Animation, Family, Music, Comedy","16, 10751, 10402, 35"
Dashing Through the Snow,"Fantasy, Family, Comedy","14, 10751, 35"
Cars 2,"Animation, Family, Adventure, Comedy","16, 10751, 12, 35"
Shin Godzilla,"Action, Science Fiction, Horror","28, 878, 27"
Resident Evil: Death Island,"Animation, Action, Horror","16, 28, 27"
Gunfight at Rio Bravo,"Western, Action","37, 28"
Hacksaw Ridge,"Drama, History, War","18, 36, 10752"
Joy Ride,Comedy,35
A Taste of Blood,Horror,27
Your Fault,"Drama, Romance","18, 10749"
172 Days,"Drama, Romance","18, 10749"
The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action","12, 14, 28"
Glass Onion: A Knives Out Mystery,"Comedy, Crime, Mystery","35, 80, 9648"
Let Her Kill You,"Thriller, Mystery","53, 9648"
Luca,"Animation, Comedy, Fantasy, Adventure, Family","16, 35, 14, 12, 10751"
Zootopia,"Animation, Adventure, Family, Comedy","16, 12, 10751, 35"
Last Night of Amore,"Thriller, Crime","53, 80"
Ghosted,"Action, Comedy, Romance","28, 35, 10749"
The Hangover,Comedy,35
The School of Magical Animals 2,"Family, Adventure","10751, 12"
Man of Steel,"Action, Adventure, Science Fiction","28, 12, 878"
Furious 7,"Action, Thriller, Crime","28, 53, 80"
How to Train Your Dragon,"Fantasy, Adventure, Animation, Family","14, 12, 16, 10751"
Iron Man,"Action, Science Fiction, Adventure","28, 878, 12"
Real Steel,"Action, Science Fiction, Drama","28, 878, 18"
Sonic the Hedgehog,"Action, Science Fiction, Comedy, Family","28, 878, 35, 10751"
Wrath of Man,"Thriller, Action, Crime","53, 28, 80"
Poseído,Horror,27
The Thin Yellow Line,Drama,18
"The Gangster, the Cop, the Devil","Crime, Action, Thriller","80, 28, 53"
Pirates of the Caribbean: At World's End,"Adventure, Fantasy, Action","12, 14, 28"
Mulan,"Animation, Family, Adventure","16, 10751, 12"
Soul,"Animation, Family, Comedy, Fantasy, Drama","16, 10751, 35, 14, 18"
Space Wars: Quest for the Deepstar,"Science Fiction, Adventure, Action","878, 12, 28"
PAW Patrol: The Movie,"Animation, Family, Adventure, Comedy","16, 10751, 12, 35"
Poor Things,"Science Fiction, Comedy, Fantasy, Drama","878, 35, 14, 18"
Taken 3,"Thriller, Action","53, 28"
2001: A Space Odyssey,"Science Fiction, Mystery, Adventure","878, 9648, 12"
Insidious: The Red Door,"Horror, Mystery, Thriller","27, 9648, 53"
R.A.D.A.R.: The Adventures of the Bionic Dog,"Family, Science Fiction, Comedy, Adventure","10751, 878, 35, 12"
Terrifier 2,"Horror, Thriller","27, 53"
Dawn of the Planet of the Apes,"Science Fiction, Action, Drama, Thriller","878, 28, 18, 53"
The Last Son,"Western, Action, Adventure, Drama","37, 28, 12, 18"
The Kill Room,"Thriller, Comedy, Crime","53, 35, 80"
The Next 365 Days,"Romance, Drama","10749, 18"
Fall,Thriller,53
Casper Meets Wendy,"Family, Fantasy, TV Movie","10751, 14, 10770"
The Monkey King,"Animation, Fantasy, Adventure, Family, Comedy","16, 14, 12, 10751, 35"
Cyst,"Horror, Science Fiction, Comedy","27, 878, 35"
It,"Horror, Fantasy","27, 14"
